text,label
"#يوم_الاخت_العالمي
قبل ساعات اطلاق نار كثيف بين كلاب حزززب اللاااات في لبنان  حصيلة القتلى الى الان وصل الى  ش",1
مات واللي نهبوا من البلد  توزع عالورثة وتركلنا خلفه  جرذان النور في خلدة,1
_ اسمع جرذان المرجعيات والعمائم العفنه,1
أين الجيش اللبناني يخلص البشرية من جرذان حزب الشيطان,1
احترم ارادة الناس كيما نكسنا بن علي نكسنكم انتم يا جرذان,1
اسمع طحين الخوانحية ما له مثيل 😂شفت  متاعي للمصمودي الجرذ رديت عليه بالنونسي باش يفهم قدرو لك,1
_  مابقى الا مثل هذا والله ياتويتر طلع جرذان ويحسبون انفسهم رجال !!,1
"#خيانات______تتكرر
#اللعبة_القذرة 
هم يقتلون ويشردون 
وخونة المسلمين يعيدون تسليم 
جرذان النظ",1
_ على أساس راكضين جرذان الحوزب على الشهادة ؟,1
_  يا حوثي شلون تتكلم و تقول السعودي جبان و السعوديين دعسوكم في الحد الجنوبي و السعوديين هم الي,1
"_  لعنة الله عليك إلى قيام الساعة ،، بأمي وأمي ونفسي ومالي وابنائي بنات الحبي",1
ههههههههه ههههههههه جرذان من ورق😂😂😂,1
"وين عصابتك معالي الوزير
ابو الأمن العربي 😂😂😂
 تحارب بدل حلفاءك في جرذان  دجال الضاحية
 لا نهم انقرضوا من أجل صباط دجال الضاحية",1
"والله ياسيد جهبذ وانت جهبذ راحت عليه حسابات عزيزية علي خصوصا الاخير 

تصدق ؟ 

فكرة تحصين الحساب من الخبث",1
على اساس مواجهتكم بدها جرأة 😂 ولا حمار اندقت البنت وصارت مسخرة بين العرب محداش متقبل وجودكم ويلي ص,1
"شوية جرذان في المجاري قال مقاومة 😂😂
💦💦",1
اي صحيح  مثل جرذان 🤪🤪,1
"🔞أحسنت يجب تطهير لبنان من جرذان الضاحية🔞😔😔

#عرب_خلدة",1
العشائر تطلق النار ع جرذان حزب الله وعناصر حزب الله تهرب 😂😍,1
"صح لا الفرنسيين ولا الغرب كلهم جرذان تجارب
الخلايجه بس الجرذان 🤓",1
حاربت الجماهير الرياضيه السعوديه بمختلف ميولها كل أنواع الفساد والهمجيه بالرياضه الكرويه السعوديه وحاصرت جرذان ذالك,1
"النطهير اولاً للضاحية من جرذان ايران 
#عرب_خلدة اسيادكم",1
نقاتل اشرس الاعداء ويقتلنا غدرا جرذان الارض,1
"طحالب
جرذان
قرامطة
قوادة

نهى #الله سبحانه وتعالى عن تنابز بي ألقاب
لكن #مسلمي_ليبيا الشريفة سمعو كلام #الله حرفيا!! أليس كذلك",1
"بريطانيا واوروبا كلها عارفين ان اليهود جرذان مجاري""كرم الله وجوهكم""",1
"الطيطار الرولكسي ليش مشتط؟!!
كل هوا يا طيار وأنطم
فعلا خرجت جرذان الدحابشة الإخونج من جحورها وفضحت نفسها🍺😂😂😂
قوبه",1
"إنَّ الشُّعُوبِيِّينَ جُرْذَانٌ إذا
وَقَعَ الكَبيرُ تشَرْذَمُوا وتَذَبْذَبُوا
روُحُ القطيعِ تَقَمَّصَتْ ألْبابَهُمْ",1
مشاركة الدكتور سيف الإسلام أبو منيار في الإنتخابات هي بمثابة إختبار حقيقي و معايرة دقيقة لإدعاءات جرذان فبراير في ا,1
"كل أفعال جرذان فبراير عكس شعاراتهم، يرفضون حكم العسكر و هم تحت رحمة المليشات، يطالبون بالإنتخابات الحرة و يخافون من",1
غريب المقال منكم خصوصا و ان الاسلام السياسي و خوان المسلمين من رعاع المخابرات الاجنبيه من,1
اوسخ اشي في الحياة لما بنت تفكر حالها اشي كثير وهي اقذر من جرذان المجاري وملفها  اسود,1
"ماهو لانكم قعدتو تعيطو وحرام وتهجير وليش وقتلتو نصهم في بوسليم 
ينقنكم جرذان",1
____ لبنان تابعة لإيران حسب ما يقولون بعض جرذان الداخل يعني اذا لبنان عربي ايران عربية,1
موتوا بغيضكم يا جرذان إنتهت الفسحة الآن المحاسبة و السجن للقتلة و المجرمين و الكلاب تجار الدين,1
"#طربق_عليه_المنداف
يا دين الزح  يمشيشي رئيس الجرذان الخريجي شهر الغنوشي يتعدى في الطويل  يقوموا جرذان الدجل والنف",1
_ فعيان مب جرذان,1
جرذان للبيع,1
بعد #تونس #الجنوب_العربي راح يطرد جرذان  🐀 الاخوان من #حزب_الاصلاح الى وطنهم #اليمن #,1
_ _ كتاب سالوست مؤرخ الإمبراطورية الرومانية معاصر للاحدات يخبرك اي جرذان كان,1
احسنتي كل هؤلا جرذان,1
معا لطرد انقلابي ١٩٩٤ جرذان 🐀 #المخلوع المفسدون في الارض طيلة ٢٧سنة معا لطردهم من وطني #الجنوب_العربي الى وطنهم,1
"طهدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
_  جرذان المناهيل المتطفلة,1
وليس أسخف منك سوى جرذان الصحراء ممن يضحكون,1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري 💜💜",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"_ #١٧_تشرين تاج راسكم يا مهابيل، يا حقودين، يا جهلة، يا جرذان الله يلعنكم وينزل نار من السماء وتحرقك",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
بطولات في الصور وفي المعارك جرذان شاردة  اقزام الفرقة ٠ مدرعة,1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة 
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"قناة اعلام تويتر
هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري✅✅",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة•
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة٨٧٧٧
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"بقدر ما هو محزن ، فإن تلك الفئران هي أكثر من مجرد جرذان بالنسبة له هروب من واقعه 
 إنه جميل حقًا ، بلا حكم",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة""

#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري ذ",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري⚖️⚖️",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة،،،
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري ،،،",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري",1
"هدفك الوحيد كان النصر على جرذان عصابات داعش لإنقاذ اخوانك  واهلك في المحافظات المحتلة
#هادي_العامري
#هادي_العامري",1
#جمال قبيح ريان  وفيصل القاسم وبقية جرذان  #الجزيرةدوخوا العالم بمدح انفسهم ودورهم فى الوطن العربى العربى وكأنه,1
"فرق بين تريس و بين #جرذان عالة ع مجتمع

تريس #ورفلة ❤️",1
"وشنو الفائدة 
جريذي من جرذان ايران 
مايكدرون يحاسبوه",1
"_  كل الدعم لقيس سعيد 💟 
و انتم يا جرذان الغنوشي المسخ ستتعفنون في السجن",1
تعاشر جرذان 🤣🤣🤣 كفوك,1
_ جرذان أردوغان,1
السعودية اكثر دولة ساندت الفلسطينين ووقفت في قضيتهم لكن الفلسطنيين جرذان لايذكرون ا,1
"لا زلتم ترقصون على الجراح النازفة
وترتدون زي الحمل
حاشَ الذئب ما أنتم إلا جرذان
ناشطون  منظمات غير حكومي",1
_ جرذان,1
_   هذولي جرذان 🐀,1
هؤلاء جرذان بوخروبة أقسم بالله لو عندهم القدرة حتى يمسحوا المغرب من الخريطة أسمحلي انت لا إمبراطور ولا هم يحزنون,1
جرذان وفضحناهم 😂😂,1
"دعس جرذان الأتراك 

#ليبيا_في_ثلاث_كلمات",1
"#طرد_جرذان_تركيا 
العرب عرب النخوة والكرامة والعجم نهب وسرقة 
وشعارات فضفاضة🧐",1
جرذان كورد بارزاني,1
"مانسيت هالقذر القوى اللئيم حين وصفنا بقايا الحجاج ثم تهكم على المرأة السعودية اللي مايسوى جزمتها تكرمون
🔸جرذان ال",1
أحقر شعوب الأرض  جرذان الأرض,1
اي والله ربي يفك اسر ساعدي من جرذان,1
_ ايامات كان محاصركم يا جرذان الله الله يا تركي حز علينا😂😂,1
"لو الجيش النظامي استخدم كامل طاقته كان انت ميت الان، لأن الحوثة جرذان يت",1
"طبعاً حوثي ماتفهم هالكلام 
لكن بحطه لك عشان الناس ادخل وتفهم 
ولا انت لو تفهم اصلاً وفيك اقل كان م",1
يقولك ايران ضاربه سفينه لكم ما أنتم فاعلون نباح على الفاضي دولة جرذان خوافين,1
"_  ايش دخل دين امك ي بربري تتكلم بلساننا ؟! 

خليك في بلدك موطن الحانات وعاهرات فرنسا، جرذان فرنسا",1
"هل تنتصر الخيمة على القصر وتكسر عصا الراعي بندقية السجان !!؟

#طحالب ✖️ #جرذان",1
خزاك الله يا جرذان انت وصفت نفسك يا ذليل اما الفلسطيني صاحب الكرامه تبغ,1
ههههههههههههه جيش الامام المهدي سواكم تبسي يا جرذان القاعدة,1
_____  جرذان كضية الكدس لعنكم الله,1
المسيرة❌  جويلية❌ لا تمثل شباب 💪💪 انه فخ قد يؤدي بنا الى التهلكه جرذان النهضة تريد التنكيل بنا و استدراجنا نحو,1
وهم اساسا جرذان,1
"___ الله راح يكون لهم بالمرصاد
البعثية شكد حكمو وشكد قتلو ودفنو ناس احياء وبالاخير صارو جرذان
الله المنتقم ان شاء الله",1
"بيان الاهلى ثم بيان جماهيره

سيقضى على جرذان كثيره كانت تختبئ فى جحورها ظنا 

منهم ان لا احد سيراها

فالنحرقهم اجمع",1
ذكرتني بخلافة العار الداعشية صناديد وابطال وخلافة على منهاج النبوة وبالاخير جرذان صح,1
__ _ الاعتراف بالكيان الصهيوني كدوله هذي خيانه لدين والعروبه ماله دخل جرذان,1
احلى كرامة يابو الطين انت وين والكرامه وين روح ازحف مجموعة أغبياء حرام يكون لكم عقل لأن العقل للعاقل أما لأم,1
كمشه جرذان صعاليك,1
"حاول أن تكون مهذبا في طرحك 
إلا إذا كنت تتحمل الرد بمثله 
حينها سأقول  خصوم تركيا جرذان وصراصير وأح",1
"جرذان بشار 
أو صبابيط بشار يرجى التصحيح",1
ذولي جرذان ويبيلهم دعس,1
فعلا يحكى على جرذان لأستعانوا بالحلف الصليبي واجدين رفعوها يالنصر يامصر🤣🤣🤣🤣🤣🤣🤣🤣,1
"سوف نطارد جرذان الأخوان

دار دار 

بيت بيت

زنقة زنقة

قطر سوف تدفع التعويضات بالمليارات

واليوتيوب ملئ بفيديوات ال",1
قله قالك دحه تاع واد سوف  من انتم  ؟ من اين اتيتم  ؟ جرذان,1
"#تهاني_القحطاني
جرذان العرب تجار الكضية يهاجمون تهاني عشان لعبت ضد اسرائيلية وفي المباراة يدعمون الاسرائيلية ومبسوط",1
جرذان إيران ندعسهم بأقدامنا قريبا باذن الله,1
جرذان وحشرات وزواحف نظام الحمارين وبهيم الجت ادعوكم لمشاهدة فلم جميل عن جزيرتنا حوار الجميلة كي أغيضكم وارفع ضغطكم,1
"__ جرذان، اي علي فلوس او منطقة نفوذ لسرقة قوت الناس الان في ليبيا وين تلقي بوابة تخاف وتفقد الامان",1
"لم يعد سوريين في جيش بشار جرذان
لم يبقى سوا المرتزقه الشيعة المخنثين وشذاذ الأفاق
والروس الحاقدين
والأكراد الملحدين",1
"انت خليك انسحب واهرب من كل مكان ولوم الناس على ضياع ارضك وعرضك، هاربين مشردين جرذان تاركين ارضكم ومن كل",1
خسئتم يا جرذان,1
اكيد جرذان جيشك في درعا البلد تم دعسهم,1
هؤلاء هم عصابات و جرذان الفرقة الرابعة,1
_ أحدهم اعتبره وهم متضرر ونقول سر على بركة الله والله خير حافظ وناصر ذولاك جرذان من تحت لا تحت جنب مواسير,1
جرذان بمثلك بدون اصل و لا فصل و  لا نسب تحب الصهاينة أكثر من نفسك تتكلم في تربية واحد,1
"العيش في الخنادق ، البقاء لأيام بدون طعام و شراب ، الإعتماد على الأكل المتعفن التي تشاركهم فيها جرذان الجثث ، رائحة",1
مهما فعلو جرذان درعا ومهما تمكنو من أسر جنود أو قتلهم الجيش البطل داخل دا,1
"لبوهم النار الخين كلاب النار
قاعدين نطاردهم مطاردة القط للفار 
جرذان خونة قليلين الشرف والناموس وال",1
"#معركه_الكرامه
جرذان عصابات الفرقة الرابعة التي يقودها الجزار ماهر أسرى بيد الأبطال في درعا",1
الى الخوانجية و مشتقاتهم تهبطوا  الفيهبطوا في وجوهكم  ملاين ومعاهم الأمن والجيشثمة ناس تموت على تونس وتفديها بدمها يا جرذان,1
"شكرا للجيش العربي السوري، جرذان الناتو التهو بالنواح  ع دواعش درعا ونسو تونس ♥♥",1
_ الجردان الي تخاباو ما يخوفوناش والقرودة الي كيف الغنوشي و البحيري ايامكم معدودة والبرلمان الي عم,1
شكلك واحد من جماعة جرذان حفتر او انك كنت ترقص للكانيات او انك كنت امعة ونطيح,1
صدقتي والله  بس ميگدرون  جرذان ايران تقتلهم,1
جرذان امام الحوثي وفيله أمام الجنوبيين,1
جبناء ويعلمون بأنهم جرذان أمام الحوثي,1
خربتوها يا جرذان,1
جرذان في بعضهم,1
"_ تف عليكم كذابين   لعنه الله على الكاذبين  
وانتم وايران في خندق واحد انتم جرذان",1
"#درعا_تحت_القصف
جرذان النظام الإرهابي في سوريا تحت اقدام ثوارها 👇",1
"#متنكرون_كالسعوديين

اقلكم البلد مليانة
 من عيال اليمانية 
وعيال والمصرية 
مقرفين جرذان مالهم كرامة 
كيف يقعدو بدولة مواطنيها محتقرينهم",1
في جرذان على تغريدة ماما ليلى هنا بيحشرو نفوسهم وبيردو بقلة أدب ليش ياترى يتدخلون بأشياء لاتعنيهم🤣اك,1
لا هذول جرذان ما تلقينهم الا ورا الشاشة اهل الفتن,1
جنوب إفريقيا تستنكر منح جرذان الصهيوني ثقة مراقب في إتحاد إفريقي دبلوماسية الجزائرية قوية من التطبيع,1
��😁😁😁اي حكومه وامير حكيم وصارلكم تحاربون حوثيين جرذان وما قدرتم عليهم كيف تحاربون دول ذات ج,1
جرذان العصر,1
"الله أكبر ولله الحمد 

جرذان النظام في قبضة الأبطال

#الحرية_لدرعا 
#درعا_مقبرة_الغزاة
#كن_عين_الثورة",1
"العيب مش عليك على البحسني
الذي اوى كلاب شوارع امثالكم 
سلام الله على اسيادك جرذان إيرلو لاطمين الخمسات",1
_ الله يفقع قلبك من الحراره انت جرذان حزب الشيطان اولا اطرد ها الحزب وجرذانه من لبنان وامنعوهم من مساع,1
زين ادانوا الضاهر ماكانو يدرون عن الحوثي ودعم جرذان ايران لهم,1
لاتنشرون فديوهات جرذان المجاري لكي لاتطفوا على السطح فنراها ونسمعها,1
"الله أكبر ولله الحمد 

أبناء #درعا يسيطرون على معسكر #زيزون في الريف الغربي بعد فرار جرذان الفرقة الرابعة ووقوع ع",1
صحيح  داعش هسه صاروا جرذان بعد ما رادوا يدمرون بلدنا والله دائماً ينصر الحق,1
"😅😅
لا يعتريك الشك لانه يوجد رجال محترمين كثر و لله الحمد و ايضا يوجد جرذان كثر 😂",1
_ طردكم الملك فهد الله يرحمه وان شاءالله تصير الحين وتترحلون ي جرذان العرب والله انكم مثل,1
قتل جرذان الخرافة وليس السنة,1
تهدد ياابو قات كان اولى تقول احرر بلدي المغتصب من قبل ايران وحزب الشيطان م,1
"_ لا نتشرف فيكم أنتم حثالة 
أنتم محموعة من اللصوص والعملاء لفرنسا وإيران 
انت جرذان السياسة ولا اتم",1
هههههههههه جرذان و فضحناهم 🤣,1
"الله يرحمه وصفهم وصف يليق بيهم قال عنهم جرذان
هو الي خله برلسكوني يعتذر عن ايطاليا لليبيا عن احتلالها",1
"اكشفوا المطبلين و عروهم و اقضّوا مضاجعهم
🔺 انهم جرذان الأمة
🔺 هم البق و القرادوالبعوض 🔺هم اراذل البشر
🔺هم او",1
"الطحانة اللي غايضهم الدستور ويسميو فيه انقلاب ودموع جرذان على الانتقال الخرائي
شبيهم ماقالوش نفس الكلام",1
��😂😂😂😂 اتلم مين ع مش عارف مين واصلا محدش يعرف هم مين من انتم ي جرذان,1
الطيار قد ماهو احول قتل جرذان بالغلط💔ههههههههههههههههههههههههههههههههههههههههههههههههههههه,1
زي بعضهم جرذان,1
"وماذا تنتظر من جرذان النهضة أكثرمن هكذا قذارة
#كلناقيس_سعيد",1
_ توا ظهروا القائمات هههههههههههههههههه لكم يد في ذلك و اخذتوا عمولتكم و انتهى الموضوع المحاسبه يا جرذان  #كلّنا_قيس_سعيّد,1
مشكورين وبدنا أكتر وخصوصاً جرذان النظام بتركيا وكمان بألمانيا وكندا,1
_ __ قبيلة الحوثي مجموعة جرذان,1
حسبي الله ونعم الوكيل فيكم يا جرذان,1
"_ جرذان المقاولة 
ابطال الهشت",1
انتم اسقطتم نظام صدام بطلب من السقاطين جرذان المهجر لم يطلبه منكم عراقيا شريفا لاشيعيا ولاسنيا انتم وحد,1
"ما يحتاج يا دكتور، الناس تعرفهم وهم يعرفون أنفسهم جيدا، وأنت لم تقصر في جلدهم وتعريتهم ومسح البلاط",1
_ نفس جرذان الخرافة بالعراق كانو يرون أنفسهم ملائكة وهم فتكو بالشعب العراقي وقتلو الآلاف من النساء والأطفال,1
"والله لولا الشرعية ما خرجت جرذان مران ولا كان لهم الذكر وإذ لم ترحل لها شرعية الفنادق لن يرحل الكهنوت

طرد الشرعي",1
انتم جرذان اسلامية بحق ولاتستحقون ذرة احترام,1
اعلن جهاز مكافحة الارهاب عن القاء القبض على  مطلوب من جرذان داعش بينهم قياديين في مناطق متفرقه من البلاد,1
من الصعب أن تقنع جرذان الكنيف أن تبتعد عن القاذورات هؤلاء لا يدعمون و لا يتقاربون و لا يتجانسون الا مع,1
يا شيخ واقيلة فما طرف جرذان في تويتر يحبو على طرف تدخل اجنبي و انا بصراحة وفالي الكاكي و ناقص كمية فبحي,1
"__  باقي تحت تاثير الصدمة 
جرذان الشيخ",1
الله عليك يا بوفارس تغريدتك طلعت جرذان من جهورها 🤣😂,1
"عشم باتك يا عويشه بان جرذان تصفي في جرذان
فلتذهب الكلاب الي جيفتها",1
رغم حقد الحاقدين وكيد الكائديندويلة الإمارات العبرية وثعلبها السفاح سيسي تونس حرة ابية عصية عليكم يا جرذان المجار,1
طالما السلطه مليانه خانعين و خونه  وبالسرداب في جرذان حزلاله  كل شي ممكن 😐💔💔🇱🇧,1
_ شعب تونسي الحر وانا وحده منهم خرجنا الكل وقلنا لرئيس الي احنا معاه طلب منه يخلصنا من جرذان الاخوان ولب,1
"هذا الجرذ الذي خلف جرذان ملئت الصحاري من الدواعش
حفر يسموها،مضافات",1
"_ طيب ضحكت البنات و اتريقت على الرجال وبعدين  
كذا  تثبت انك إنت بشمهندز جرذان أباظة  يا سخيف",1
"جرذان منافقين و غدارة 

مايمثلوناش",1
_ إنت الجرذي المؤذي يا بشمهندز جرذان عاملي فيها انك لطيف و تضحك,1
تتواصل عمليات صيد جرذان داعش حيث تم الاطاحه بالارهابي ال١٧ يوم مرعب بمعنى الكلمة على بقايا داعش🇮🇶✌,1
"الطحانة اللي غايضهم الدستور ويسميو فيه انقلاب ودموع جرذان على الانتقال الخرائي
شبيهم ماقالوش نفس الكلام في  جانف",1
